Name,Age,Grade
Alice,21,A
Bob,22,F
Charlie,18,B
David,21,A
Eve,20,A
Fiona,18,C
George,19,A
Hannah,20,C
Isla,22,A
Jack,21,B
Alice,20,C
Bob,20,C
Charlie,18,C
David,20,A
Eve,21,B
Fiona,19,C
George,18,F
Hannah,19,B
Isla,19,B
Jack,18,F
Alice,18,F
Bob,18,F
Charlie,18,C
David,18,F
Eve,20,B
Fiona,19,B
George,21,D
Hannah,19,B
Isla,19,B
Jack,18,F
Alice,19,B
Bob,20,B
Charlie,22,D
David,20,C
Eve,19,A
Fiona,20,F
George,21,F
Hannah,22,F
Isla,21,F
Jack,19,F
Alice,20,C
Bob,22,F
Charlie,21,C
David,21,C
Eve,22,A
Fiona,20,B
George,20,D
Hannah,21,F
Isla,22,B
Jack,21,B
Alice,22,B
Bob,20,C
Charlie,21,A
David,22,F
Eve,19,A
Fiona,19,F
George,21,D
Hannah,20,B
Isla,18,A
Jack,18,D
Alice,18,C
Bob,20,C
Charlie,19,C
David,20,F
Eve,18,D
Fiona,22,A
George,18,D
Hannah,18,C
Isla,20,B
Jack,20,F
Alice,22,A
Bob,20,F
Charlie,22,C
David,18,A
Eve,20,F
Fiona,19,A
George,18,F
Hannah,19,B
Isla,18,D
Jack,22,B
Alice,19,A
Bob,19,D
Charlie,19,A
David,20,F
Eve,19,B
Fiona,20,C
George,22,A
Hannah,19,D
Isla,19,C
Jack,21,C
Alice,18,A
Bob,19,B
Charlie,22,F
David,22,A
Eve,21,C
Fiona,19,F
George,18,C
Hannah,22,F
Isla,18,F
Jack,20,D
